weeks_included,model,target_variable,horizon,location,location_name,rel_ae,rel_wis,msr_baseline,cov_50,cov_95,bias,n,n_loc
52,epiforecasts-tsensemble,inc case,4,HU,Hungary,1.31,0.43,0.44,0.5,0.9,-0.08,20,1
52,EuroCOVIDhub-baseline,inc death,2,HU,Hungary,1,1,1,1,1,-0.04,18,1
52,epiforecasts-tsensemble,inc death,2,HU,Hungary,3.06,0.81,0.81,0.33,0.78,0.64,9,1
52,EuroCOVIDhub-baseline,inc death,3,HU,Hungary,1,1,1,1,1,-0.04,17,1
52,epiforecasts-tsensemble,inc death,3,HU,Hungary,3.48,0.6,0.6,0.38,0.62,0.69,8,1
52,EuroCOVIDhub-baseline,inc death,4,HU,Hungary,1,1,1,1,1,-0.01,16,1
52,epiforecasts-tsensemble,inc death,4,HU,Hungary,3,0.6,0.6,0.29,0.71,0.71,7,1
52,ECDC-norrsken_blue,inc case,1,IE,Ireland,1.7,0.98,1.03,0.67,1,0.21,18,1
52,ECDC-norrsken_green,inc case,1,IE,Ireland,1.72,0.91,0.95,0.17,0.78,0.03,18,1
52,EuroCOVIDhub-baseline,inc case,1,IE,Ireland,1,1,1,0.8,1,0.12,25,1
52,EuroCOVIDhub-ensemble,inc case,1,IE,Ireland,1.04,0.55,0.52,0.65,1,0.11,23,1
52,Lydia-SARIMA,inc case,1,IE,Ireland,1.3,5.46,5.29,1,1,0.06,25,1
52,epiforecasts-tsensemble,inc case,1,IE,Ireland,1.02,0.54,0.52,0.57,0.95,0.1,21,1
52,ECDC-norrsken_blue,inc case,2,IE,Ireland,1.84,0.78,0.8,0.61,1,0.18,18,1
52,ECDC-norrsken_green,inc case,2,IE,Ireland,1.96,0.73,0.75,0.22,0.83,-0.04,18,1
52,EuroCOVIDhub-baseline,inc case,2,IE,Ireland,1,1,1,1,1,0.03,25,1
52,EuroCOVIDhub-ensemble,inc case,2,IE,Ireland,1.03,0.41,0.41,0.57,1,-0.01,23,1
52,Lydia-SARIMA,inc case,2,IE,Ireland,1.02,3.68,3.59,1,1,0.03,25,1
52,epiforecasts-tsensemble,inc case,2,IE,Ireland,1.09,0.42,0.42,0.43,0.86,-0.01,21,1
52,ECDC-norrsken_blue,inc case,3,IE,Ireland,2.42,0.79,0.8,0.67,1,0.2,18,1
52,ECDC-norrsken_green,inc case,3,IE,Ireland,2.29,0.69,0.71,0.28,0.72,-0.04,18,1
52,EuroCOVIDhub-baseline,inc case,3,IE,Ireland,1,1,1,1,1,0.04,25,1
52,EuroCOVIDhub-ensemble,inc case,3,IE,Ireland,1.06,0.37,0.36,0.57,1,0.04,23,1
52,Lydia-SARIMA,inc case,3,IE,Ireland,1.19,3.02,2.96,1,1,0.02,25,1
52,epiforecasts-tsensemble,inc case,3,IE,Ireland,1.1,0.3,0.3,0.38,0.86,0.01,21,1
52,ECDC-norrsken_blue,inc case,4,IE,Ireland,3.03,0.82,0.82,0.61,1,0.25,18,1
52,ECDC-norrsken_green,inc case,4,IE,Ireland,2.85,0.72,0.72,0.28,0.72,0.01,18,1
52,EuroCOVIDhub-baseline,inc case,4,IE,Ireland,1,1,1,1,1,0.02,25,1
52,EuroCOVIDhub-ensemble,inc case,4,IE,Ireland,1.06,0.35,0.35,0.61,1,0.08,23,1
52,epiforecasts-tsensemble,inc case,4,IE,Ireland,1.1,0.26,0.26,0.43,0.9,-0.02,21,1
52,ECDC-norrsken_blue,inc case,1,IS,Iceland,1.16,0.39,0.37,0.81,1,0.29,16,1
52,ECDC-norrsken_green,inc case,1,IS,Iceland,1.08,0.32,0.31,0.25,0.56,0.41,16,1
52,EuroCOVIDhub-baseline,inc case,1,IS,Iceland,1,1,1,1,1,0.03,24,1
52,EuroCOVIDhub-ensemble,inc case,1,IS,Iceland,0.91,0.3,0.33,0.68,0.89,0.23,19,1
52,epiforecasts-tsensemble,inc case,1,IS,Iceland,1.01,0.26,0.26,0.47,0.89,0.09,19,1
52,ECDC-norrsken_blue,inc case,2,IS,Iceland,1.45,0.3,0.27,0.75,1,0.33,16,1
52,ECDC-norrsken_green,inc case,2,IS,Iceland,1.13,0.21,0.2,0.31,0.69,0.48,16,1
52,EuroCOVIDhub-baseline,inc case,2,IS,Iceland,1,1,1,1,1,0.02,24,1
52,EuroCOVIDhub-ensemble,inc case,2,IS,Iceland,0.95,0.22,0.26,0.79,0.89,0.19,19,1
52,epiforecasts-tsensemble,inc case,2,IS,Iceland,1.02,0.16,0.16,0.53,0.84,-0.01,19,1
